year,region,count
1971,BC,4653
1973,BC,4570
1977,BC,5219
1982,BC,4726
1987,BC,6122
1992,BC,7378
1994,BC,8104
1998,BC,9818
2002,BC,12122
2006,BC,15721
2008,BC,15061
2010,BC,17996
1982,SEAK,6898
1990,SEAK,7629
1991,SEAK,8641
1992,SEAK,7555
1994,SEAK,9001
1996,SEAK,8231
1998,SEAK,8693
2000,SEAK,9892
2002,SEAK,9949
2008,SEAK,8748
2009,SEAK,11798
2010,SEAK,9644
1977,OR,1461
1979,OR,1542
1980,OR,1632
1981,OR,2105
1982,OR,2604
1983,OR,2106
1984,OR,1867
1985,OR,2210
1986,OR,2289
1987,OR,2709
1988,OR,2825
1989,OR,2183
1990,OR,2414
1992,OR,3581
1993,OR,2838
1994,OR,3293
1995,OR,3837
1996,OR,3205
1997,OR,3897
1998,OR,3971
1999,OR,3275
2000,OR,2927
2001,OR,3648
2002,OR,4169
2003,OR,5714
2006,OR,4506
2008,OR,4090
1990,CA,1329
1991,CA,1163
1992,CA,969
1993,CA,821
1994,CA,1046
1996,CA,1369
1999,CA,1277
2000,CA,1215
2001,CA,1077
2002,CA,1096
2003,CA,1193
2004,CA,1163
2009,CA,1236
1976,WA,254
1989,WA,89
1991,WA,274
1992,WA,277.6666667
1993,WA,546
1994,WA,384
1995,WA,409
1996,WA,594.8333333
1997,WA,351.5
1998,WA,470
1999,WA,806.3333333
2000,WA,680.6666667
2001,WA,506.2
2002,WA,650.5
2004,WA,732.3333333
2005,WA,898
2006,WA,714
2007,WA,858
2008,WA,1198
2009,WA,1343
2010,WA,1420.666667
2011,WA,1749
