SITENAME,Region,OBL.2000,VERT.2000
HAZY,SE AK,1824,1885
THE BROTHERS/SW,SE AK,1499,1461
WHITE SISTERS,SE AK,1398,1361
FORRESTER/LOWRIE,SE AK,1213,1228
FORRESTER/NORTH ROCK,SE AK,1202,1221
CAPE ADDINGTON,SE AK,1116,1180
SEAL ROCKS,E GULF,820,846
SUGARLOAF,C GULF,746,756
MARMOT,C GULF,699,720
BIALI ROCK,SE AK,662,669
WEST ROCK,SE AK,625,732
FORRESTER/SEA LION ROCK,SE AK,507,557
GRAVES ROCK,SE AK,492,558
WOODED (FISH),E GULF,408,421
OUTER (PYE),C GULF,308,328
CAPE OMMANEY,SE AK,289,305
TIMBERED,SE AK,267,287
JACOB ROCK,SE AK,233,228
SEA LION ROCK (PUFFIN),SE AK,212,213
FORRESTER/EAST ROCK,SE AK,193,203
