site,Region,RCA,1978,1979,1982,1984,1985,1986,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012
CHISWELL ISLANDS,E GULF,10,,,,,,,,,,,,,,,,,,58,54,52,,,44,,,64,64,84,
OUTER (PYE),C GULF,10,431,888,,,,,557,363,180,,181,119,,,104,113,,148,104,92,,59,104,,,122,122,145,
SEAL ROCKS,E GULF,10,545,,,,,,553,571,657,,566,598,,352,491,542,,522,500,475,543,573,556,,,740,634,728,
WOODED (FISH),E GULF,10,29,,,,,,,,,,514,305,,232,120,147,,149,85,86,173,123,159,,,178,224,225,
MARMOT,C GULF,9,6140,6741,,5751,,4381,2199,,1611,,986,804,,632,762,642,,514,466,515,505,494,433,465,,509,,524,
SUGARLOAF,C GULF,9,5021,,,,,,2109,1683,,1000,,958,,,673,703,,645,490,444,,488,559,,,613,,767,
TWOHEADED,C GULF,9,,,,,,,,,,,,,,,,,,16,8,20,20,28,16,,,14,,52,
USHAGAT,C GULF,9,,,,,,,,,,,,,,,,,,54,24,42,,43,55,,,71,,84,
CHIRIKOF,C GULF,8,1573,,,,,1476,709,607,656,,344,325,,,,184,,187,90,225,,189,123,,,216,,186,
CHOWIET,C GULF,8,4670,,,,,1731,820,343,,636,,625,,,,234,,,387,,368,,432,,,360,,453,
LIGHTHOUSE ROCKS,W GULF,8,250,,,,,,,,,,,,,,,,,5,4,7,,,11,,,16,,9,
NAGAI ROCKS,C GULF,8,,,,,,,,,,,,,,,,,,,31,26,,23,31,,,18,,8,
ATKINS,W GULF,7,2750,4538,,2093,,1072,,433,485,,,324,,366,,352,,262,172,274,128,266,328,,,338,,380,
CHERNABURA,W GULF,7,486,646,,200,,379,,197,,211,,139,,,,54,,,138,115,82,,153,,,244,,250,
CLUBBING ROCKS,W GULF,7,,1419,,1394,,,,,,433,,547,,,,448,,,490,,566,,583,,,778,,828,
JUDE,W GULF,7,,,,,,,,,,,,,,,,,,,182,130,61,187,206,,,270,,300,
PINNACLE ROCK,W GULF,7,,2748,,2013,,,,,794,,773,652,,,,639,,634,501,769,,663,643,,,702,,748,
SOUTH ROCKS,W GULF,7,44,,,,,,,,,,,,,,,,,,,36,,,44,,,60,,70,
THE WHALEBACK,W GULF,7,,,,,,,,,,,,,,,,,,12,13,16,22,,24,,,40,,52,
ADUGAK,E ALEU,6,,,,,844,,,262,,,,180,,,,135,,153,172,160,,185,185,,,276,,250,
AIKTAK,E ALEU,6,,,,,,,,,,,,,,,,,,,21,10,,7,8,,,2,,2,
AKUN/BILLINGS HEAD,E ALEU,6,,,,,60,,,63,64,,51,69,,,,56,,41,,55,,85,,119,,144,,136,
AKUTAN/CAPE MORGAN,E ALEU,6,,,,,1130,,,442,,558,,631,,,,505,,,508,,497,,657,,,688,730,734,
AMAK,E ALEU,6,,,,,,,,,,,,,,,,,,,0,3,,,,,,1,,1,
BOGOSLOF,E ALEU,6,,914,,,1109,,358,461,501,,322,302,282,,281,220,,249,256,219,,278,225,,,282,,323,
OGCHUL,E ALEU,6,,,,,172,,,,,,,94,,,,42,,,57,53,69,,78,,,90,116,109,
SEA LION ROCK (AMAK),E ALEU,6,,,,,,,,,,,,,,,,134,,,161,160,,185,158,,,185,,200,
UGAMAK (AND ROUND),E ALEU,6,,,,,1635,1386,,847,813,,,574,,706,589,558,,,570,,686,541,769,,,909,,969,
AGLIGADAK,C ALEU,5,,,,,,,,0,,,,,,,,0,,,,,,2,0,,,0,1,0,
AMLIA (SVIECHNIKOF HARBOR),C ALEU,5,,,,,,,,26,,,,,,,,13,,,,22,,28,28,,,34,30,35,
SEGUAM/SADDLERIDGE,C ALEU,5,,2475,,,2635,,529,684,,,,444,,,463,479,,,468,,,517,530,,,540,518,504,
SEGUAM/TURF POINT,C ALEU,5,,,,,,,,,,,,,,,,,30,,24,23,,15,7,,,0,,0,
YUNASKA,C ALEU,5,,752,,,1026,,,230,,,,217,,,192,161,,136,96,145,,145,,,,170,185,166,
ADAK/LAKE POINT,C ALEU,4,,,,,558,,,137,,,,327,,,,340,,,395,370,,,311,,,338,320,310,
KASATOCHI/NORTH POINT,C ALEU,4,,213,,,892,,,178,,,,215,,,268,247,,,258,302,,354,372,,,394,354,373,
GRAMP ROCK,C ALEU,3,,,,,909,,,448,,,,425,,,,456,,,430,444,,439,387,,,332,299,,
KANAGA/SHIP ROCK,C ALEU,3,,,,,,,,,,,,,,,,,,,92,113,,,221,,,214,214,208,
TAG,C ALEU,3,,,,,703,,,357,,,,234,,,,238,,,155,153,,150,144,,,130,135,,
ULAK (HASGOX POINT),C ALEU,3,,204,,,1236,,,790,,,,638,,,,521,,,332,331,,257,338,,,272,264,,
AMCHITKA (COLUMN ROCKS),C ALEU,2,,135,,,,,,148,,,,114,,,,70,,,,52,,45,44,,,40,,,
AMCHITKA (EAST CAPE),C ALEU,2,,,,,,,,,,,,6,,,,9,,,5,16,,23,24,,,13,,,
