Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ADAK,C ALEU,4,,1244,,,,,,1289,,,,424,592,847,625,,768,,767,,726,,874,,821,,1008,836,,779,621,595,715,764,,,528,,
ADAK/ARGONNE POINT,C ALEU,4,,,,,,,,,,,,,,,0,,0,,141,,43,,8,,99,,35,,12,10,,,84,0,,,0,,0
ADAK/CAPE KAGIGIKAK,C ALEU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,
ADAK/CRONE ISLAND,C ALEU,4,,,,,,,,,,,,,,,10,,3,,8,,0,,16,,2,,0,,,,59.5,,15,13,,,21,,
ADUGAK,E ALEU,6,,,,,,,,955,915,,,392,350,394,323,,314,,277,,230,,270,,201,,259,397,429,472.5,635.5,620,564,492,,,510,,584
AFOGNAK/TONKI CAPE,C GULF,9,,,,,,,,,,,,22,14,5,1,,6,,16,0,0,,1,,0,,0,,,0,16,2,0,,,0,,0,
AGATTU,W ALEU,1,9600,7159,,,,,,3130,,,1783,2486,,2098,2077,,1469,,1595,,1307,,786,,565,,699,613,590,,482,,415,476,368,,295,,290
AGHIYUK,C GULF,8,,,,,,,,,,,,0,,,,,,,0,,9,,3,,,,27,,5,9,0,,0,,,4,,47,
AGLIGADAK,C ALEU,5,,993,,,,,,514,,,,132,274,231,125,,8,,73,,40,,48,,82,,61,13,,15,13.5,11,38,12,,,45,,36
AIALIK CAPE,E GULF,10,,,,,,,,,,,,,25,0,3,,27,,3,,26,,0,,6,,1,,103,160.75,77,88,74,,,164,,182,
AIKTAK,E ALEU,6,,,,,,,0,0,,,,0,12,60,63,,93,,52,52,102,,92,,75,,101,,111,42.5,42,61,,78,,,62,,15
AIUGNAK COLUMNS,C GULF,8,,,,,,,,,,,,,,,,,,,60,94,80,,32,,0,,1,,24,7,3,,,,,19,,1,
AKUN/AKUN BAY,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,18,8,,,,,,0,,0
AKUN/AKUN HEAD,E ALEU,6,,,,,,,,,,,,0,0,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,,0,,0
AKUN/BILLINGS HEAD,E ALEU,6,,,,,,,760,435,,,,150,118,156,271,,220,,346,247,212,,254,,275,,307,422,338,523,385.5,,,,,,558,562,755
AKUN/JACKASS POINT,E ALEU,6,,,,,,,,,,,,,,0,0,,0,,0,2,0,,0,,0,,0,,0,0,0,,,,,,0,,0
AKUTAN/BATTERY POINT,E ALEU,6,,,,,,,,,,,,,0,0,0,,0,,0,2,2,,0,,,,0,,0,0,0,,0,,,,0,,1
AKUTAN/CAPE MORGAN,E ALEU,6,2796,,,,,,2084,1269,1338,,,578,765,818,1061,,908,,934,760,681,,739,,783,,1021,1059,1249,1172,1135,904,1298,1358,,,1127,,900
AKUTAN/NORTH HEAD,E ALEU,6,,,,,,,,,,,,,,0,1,,1,,0,0,0,,0,,0,,,,,0,0,,1,,,,0,,0
AKUTAN/REEF-LAVA,E ALEU,6,,,,,,,449,441,,,,0,40,18,88,,79,,29,42,54,,43,,36,,119,,103,57,128,166,98,352,,,352,,218
ALAID,W ALEU,1,4720,2475,,,,,,,,,,,,398,338,,222,,280,,268,,156,,158,,125,184,86,,86,,95,,103,76,91,59,66
AMAK+ROCKS,E ALEU,6,688,,,,,,353,430,599,,,98,273,610,869,,681,,980,919,946,,946,,563,,733,,410,220,265,324,366,358,,,592,,1120
AMATIGNAK/KNOB POINT,C ALEU,3,,,,,,,,,,,,,,3,6,,5,,15,,5,,0,,0,,1,,,0,3,,0,,,,0,,
AMATIGNAK/NITROF POINT,C ALEU,3,,128,,,,,,0,,,,0,37,104,147,,92,,72,,106,,96,,40,,76,,38,,49,,46,,,,29,,
AMATIGNAK/WEST,C ALEU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
AMCHITKA/BIRD,C ALEU,2,,,,,,,,,,,,,,,0,,9,,12,,26,,20,,0,,0,,,0,,,,,,,,,8
AMCHITKA/CAPE IVAKIN,C ALEU,2,,440,,,,,,0,,,,0,,,2,,1,,0,,0,,0,,0,,0,,0,0,0,,,,,,,,0
